,Employer,Orbis_ID,BvD_ID,fyear,CEI,State,Voluntary,Democratic_Lean,State_name,Region_Midwest,Region_Northeast,Region_South,Region_West,current_assets,lt_debt,TobinsQ,net_debt,Employees,ROA,RD_expenses,total_assets,LT_debt_to_assets,Net_debt_to_current_assets,Net_debt>0,ln_Employees,BvD sectors,Sector,public_scrutiny,consumer_proximity,litigation_risk,injury_risk,age,time_trend
2802,Simpson Thacher & Bartlett LLP,000490791,US127590977L,2013,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,129.0,3
2803,Sirius XM Radio Inc.,484532972,US116285613GN,2013,75.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,,,,,,,,3
2804,"Skadden, Arps, Slate, Meagher & Flom LLP",006370920,US149104086L,2013,100.0,NY,1.0,29.51938684664308,NEW YORK,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,65.0,3
2805,SLM Corp. (Sallie Mae),000819809,US522013874,2013,45.0,DE,1.0,18.62813791103917,DELAWARE,False,True,False,False,,,0.072,,7200.0,0.888,,159543000.0,,,,8.881836305004146,Business Services,Business Services,Low,Low,Low,Low,41.0,3
2806,Sodexo Inc.,215766085,US203147289L,2013,100.0,MD,1.0,26.0764584403731,MARYLAND,False,True,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,47.0,3
2807,Software AG USA Inc.,390011338,US303286979L,2013,70.0,VA,1.0,3.873353899829524,VIRGINIA,False,False,True,False,,,,,,,,,,,,,,,,,,,,3
2808,Sonic Automotive Inc.,000586938,US562010790,2013,15.0,NC,0.0,-2.042095525075396,NORTH CAROLINA,False,False,True,False,1732185.0,730157.0,0.326,1997048.0,9100.0,2.675,,3051170.0,0.23930393914465597,1.1529068777295728,1.0,9.116029692504942,Retail,Retailing,Low,Low,Low,Low,16.0,3
2809,Sony Electronics Inc.,226369239,US205494954L,2013,90.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,,,,,,,,,,,,,Computer Hardware,Technology,Low,Low,High,Low,50.0,3
2810,Sony Pictures Entertainment Inc.,312247579,US289086110L,2013,100.0,CA,1.0,23.11858062098484,CALIFORNIA,False,False,False,True,,,,,,,,,,,,,,,,,,,,3
2811,Southern Co.,000043097,US580690070,2013,40.0,GA,1.0,-7.821282510642426,GEORGIA,False,False,True,False,5614000.0,21344000.0,0.562,22636000.0,26300.0,2.547,,64546000.0,0.3306788956713042,4.032062700391878,1.0,10.177324218165856,Utilities,Energy,Low,High,High,High,68.0,3
2812,Southwest Airlines Co.,000377559,US741563240,2013,90.0,TX,1.0,-15.78361918429553,TEXAS,False,False,True,False,4456000.0,2481000.0,0.679,-42000.0,44831.0,3.898,,19345000.0,0.12825019384853967,-0.009425493716337522,0.0,10.710655143391888,"Transport, Freight & Storage",Transportation,Low,Low,Low,High,46.0,3
2813,Squire Patton Boggs,190591346,US262735820L,2013,100.0,OH,1.0,2.978306779897295,OHIO,True,False,False,False,,,,,,,,,,,,,Business Services,Business Services,Low,Low,Low,Low,12.0,3
2814,Stanley Black & Decker Inc.,133198510,US060548860,2013,25.0,CT,0.0,17.33989901193939,CONNECTICUT,False,True,False,False,4016600.0,3799400.0,0.757,3705800.0,50700.0,2.965,170700.0,16535100.0,0.22977786647797716,0.9226211223422796,1.0,10.833681189579275,"Industrial, Electric & Electronic Machinery",Industrials,Low,Low,Low,High,112.0,3
